scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,params_total,params_m,model_size_mb,infer_ms_per_img,throughput_img_s,peak_mem_mb,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
baseline_ce,33,ce,0.8717,80.9264,0.2589,0.6457,0.6706,0.6614,0.6608,0.8121,0.8093,0.8078,1522981,1.523,5.9427,13.7411,72.7742,nan,0.9368,0.9834,0.9596,0.5909,0.7027,0.642,0.7955,0.7,0.7447,0.3478,0.4211,0.381,0.6818,0.5,0.5769
baseline_ce,81,ce,0.838,74.6594,0.3297,0.7138,0.5825,0.5947,0.5636,0.7772,0.7466,0.7475,1522981,1.523,5.9409,5.8064,172.2251,nan,0.9622,0.9834,0.9727,0.4154,0.7297,0.5294,0.7536,0.52,0.6154,0.2812,0.4737,0.3529,0.5,0.2667,0.3478
baseline_ce,5,ce,0.8674,77.3842,0.2861,0.6499,0.645,0.6461,0.6226,0.8001,0.7738,0.7747,1522981,1.523,5.9417,5.7712,173.2738,nan,0.9521,0.989,0.9702,0.4561,0.7027,0.5532,0.7671,0.56,0.6474,0.3438,0.5789,0.4314,0.7059,0.4,0.5106
baseline_coral,33,coral,0.8757,77.1117,0.2752,0.6242,0.6543,0.6251,0.5918,0.8107,0.7711,0.7725,1518884,1.5189,5.9312,6.1352,162.9928,nan,0.9674,0.9834,0.9753,0.4783,0.5946,0.5301,0.759,0.63,0.6885,0.2889,0.6842,0.4062,0.7778,0.2333,0.359
baseline_coral,81,coral,0.864,76.0218,0.297,0.6664,0.6279,0.6341,0.6149,0.7884,0.7602,0.7654,1518884,1.5189,5.9231,5.9281,168.6871,nan,0.9514,0.9724,0.9617,0.4182,0.6216,0.5,0.7432,0.55,0.6322,0.3125,0.5263,0.3922,0.7143,0.5,0.5882
baseline_coral,5,coral,0.8725,77.1117,0.2779,0.6393,0.6483,0.6281,0.6138,0.7972,0.7711,0.7749,1518884,1.5189,5.9411,6.1316,163.0908,nan,0.9514,0.9724,0.9617,0.4186,0.4865,0.45,0.7471,0.65,0.6952,0.3243,0.6316,0.4286,0.8,0.4,0.5333
baseline_corn,33,corn,0.8633,80.9264,0.267,0.6725,0.6655,0.6716,0.6655,0.8114,0.8093,0.8086,1521956,1.522,5.9517,6.336,157.8282,nan,0.9626,0.9945,0.9783,0.5116,0.5946,0.55,0.7753,0.69,0.7302,0.4783,0.5789,0.5238,0.6,0.5,0.5455
baseline_corn,81,corn,0.8584,73.5695,0.3161,0.6685,0.6233,0.6209,0.5675,0.8045,0.7357,0.7387,1521956,1.522,5.935,5.9265,168.7327,nan,0.9565,0.9724,0.9644,0.4143,0.7838,0.5421,0.8182,0.45,0.5806,0.2609,0.6316,0.3692,0.6667,0.2667,0.381
baseline_corn,5,corn,0.8681,79.8365,0.267,0.6561,0.6658,0.6749,0.6623,0.8105,0.7984,0.8009,1521956,1.522,5.9371,6.2044,161.175,nan,0.9563,0.9669,0.9615,0.5106,0.6486,0.5714,0.7727,0.68,0.7234,0.4074,0.5789,0.4783,0.6818,0.5,0.5769
baseline_niu,33,niu,0.8644,77.6567,0.2888,0.6644,0.6388,0.6478,0.6218,0.7957,0.7766,0.7774,1521956,1.522,5.9536,6.1321,163.0756,nan,0.9519,0.9834,0.9674,0.5,0.5946,0.5432,0.7531,0.61,0.674,0.3421,0.6842,0.4561,0.6471,0.3667,0.4681
baseline_niu,81,niu,0.8565,79.2916,0.2807,0.6866,0.6422,0.6567,0.6413,0.806,0.7929,0.7936,1521956,1.522,5.9433,6.115,163.5319,nan,0.9519,0.9834,0.9674,0.5,0.7297,0.5934,0.8077,0.63,0.7079,0.3913,0.4737,0.4286,0.56,0.4667,0.5091
baseline_niu,5,niu,0.8606,76.8392,0.2943,0.6766,0.6383,0.6516,0.6107,0.8131,0.7684,0.7742,1521956,1.522,5.9368,5.8642,170.5272,nan,0.9568,0.9779,0.9672,0.5098,0.7027,0.5909,0.8235,0.56,0.6667,0.2766,0.6842,0.3939,0.625,0.3333,0.4348
